name,type,start_time,duration,miso,mosi
Flipper-W5500,result,1.223530167,0.000003833,0x00,0xa8
Flipper-W5500,result,1.223534167,0.000003833,0x00,0x01
Flipper-W5500,result,1.223538167,0.000003833,0x00,0x01
Flipper-W5500,disable,1.223543417,0.000000083,,
Flipper-W5500,enable,1.2235445,0.000000083,,
Flipper-W5500,result,1.223545917,0.000003917,0x01,0x00
Flipper-W5500,result,1.223549917,0.000003917,0x02,0x05
Flipper-W5500,result,1.223553917,0.000003917,0x03,0x04
Flipper-W5500,result,1.223560167,0.000003833,0x00,0xff
Flipper-W5500,result,1.223564167,0.000003833,0x00,0xff
Flipper-W5500,result,1.223568167,0.000003833,0x00,0xff
Flipper-W5500,result,1.223572167,0.000003833,0x00,0x00
Flipper-W5500,disable,1.223577417,0.000000083,,
Flipper-W5500,enable,1.2235785,0.000000083,,
Flipper-W5500,result,1.22358,0.000003833,0x01,0x00
Flipper-W5500,result,1.223584,0.000003833,0x02,0x0F
Flipper-W5500,result,1.223588,0.000003833,0x03,0x04
Flipper-W5500,result,1.223594167,0.000003833,0x00,0xc0
Flipper-W5500,result,1.223598167,0.000003833,0x00,0xa8
Flipper-W5500,result,1.223602167,0.000003833,0x00,0x01
Flipper-W5500,result,1.223606167,0.000003833,0x00,0xfa
Flipper-W5500,disable,1.2236115,0.000000083,,
Flipper-W5500,enable,1.232396917,0.000000083,,
Flipper-W5500,result,1.232398667,0.000003833,0x01,0x00
Flipper-W5500,result,1.232402667,0.000003833,0x02,0x2E
Flipper-W5500,result,1.232406667,0.000003833,0x03,0x04
Flipper-W5500,result,1.232410667,0.000003833,0x00,0x78
Flipper-W5500,disable,1.232416,0.000000083,,
Flipper-W5500,enable,1.232417167,0.000000083,,
Flipper-W5500,result,1.232418667,0.000003833,0x01,0x00
Flipper-W5500,result,1.232422667,0.000003833,0x02,0x2E
Flipper-W5500,result,1.232426667,0.000003833,0x03,0x00
Flipper-W5500,result,1.232433417,0.000003833,0x78,0x00
Flipper-W5500,disable,1.232438417,0.000000083,,
Flipper-W5500,enable,1.232439583,0.000000083,,
Flipper-W5500,result,1.232441083,0.000003833,0x01,0x00
Flipper-W5500,result,1.232445083,0.000003833,0x02,0x2E
Flipper-W5500,result,1.232449083,0.000003833,0x03,0x04
Flipper-W5500,result,1.232453083,0.000003833,0x00,0x78
Flipper-W5500,disable,1.232458417,0.000000083,,
Flipper-W5500,enable,1.232459333,0.000000083,,
Flipper-W5500,result,1.232460833,0.000003833,0x01,0x00
Flipper-W5500,result,1.232464833,0.000003833,0x02,0x2E
Flipper-W5500,result,1.232468833,0.000003833,0x03,0x00
Flipper-W5500,result,1.2324755,0.000003833,0x78,0x00
Flipper-W5500,disable,1.232480583,0.000000083,,
Flipper-W5500,enable,1.232481667,0.000000083,,
Flipper-W5500,result,1.23248325,0.000003833,0x01,0x00
Flipper-W5500,result,1.23248725,0.000003833,0x02,0x2E
Flipper-W5500,result,1.23249125,0.000003833,0x03,0x04
Flipper-W5500,result,1.23249525,0.000003833,0x00,0xf8
Flipper-W5500,disable,1.2325005,0.000000083,,
Flipper-W5500,enable,1.249652417,0.000000083,,
Flipper-W5500,result,1.249654083,0.000003833,0x01,0x00
Flipper-W5500,result,1.249658083,0.000003833,0x02,0x2E
Flipper-W5500,result,1.249662083,0.000003833,0x03,0x00
Flipper-W5500,result,1.24966875,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.249673833,0.000000083,,
Flipper-W5500,enable,1.270633417,0.000000083,,
Flipper-W5500,result,1.270635083,0.000003833,0x01,0x00
Flipper-W5500,result,1.270639083,0.000003833,0x02,0x2E
Flipper-W5500,result,1.270643083,0.000003833,0x03,0x00
Flipper-W5500,result,1.27064975,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.270654833,0.000000083,,
Flipper-W5500,enable,1.291634417,0.000000083,,
Flipper-W5500,result,1.291636083,0.000003833,0x01,0x00
Flipper-W5500,result,1.291640083,0.000003833,0x02,0x2E
Flipper-W5500,result,1.291644083,0.000003833,0x03,0x00
Flipper-W5500,result,1.29165075,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.291655833,0.000000083,,
Flipper-W5500,enable,1.3126355,0.000000083,,
Flipper-W5500,result,1.312637167,0.000003833,0x01,0x00
Flipper-W5500,result,1.312641167,0.000003833,0x02,0x2E
Flipper-W5500,result,1.312645167,0.000003833,0x03,0x00
Flipper-W5500,result,1.312651833,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.312656917,0.000000083,,
Flipper-W5500,enable,1.333636667,0.000000083,,
Flipper-W5500,result,1.33363825,0.000003833,0x01,0x00
Flipper-W5500,result,1.33364225,0.000003833,0x02,0x2E
Flipper-W5500,result,1.33364625,0.000003833,0x03,0x00
Flipper-W5500,result,1.333653,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.333658,0.000000083,,
Flipper-W5500,enable,1.35463775,0.000000083,,
Flipper-W5500,result,1.354639417,0.000003833,0x01,0x00
Flipper-W5500,result,1.354643417,0.000003833,0x02,0x2E
Flipper-W5500,result,1.354647417,0.000003833,0x03,0x00
Flipper-W5500,result,1.354654083,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.354659167,0.000000083,,
Flipper-W5500,enable,1.375638917,0.000000083,,
Flipper-W5500,result,1.3756405,0.000003833,0x01,0x00
Flipper-W5500,result,1.3756445,0.000003833,0x02,0x2E
Flipper-W5500,result,1.3756485,0.000003833,0x03,0x00
Flipper-W5500,result,1.375655167,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.37566025,0.000000083,,
Flipper-W5500,enable,1.39664,0.000000083,,
Flipper-W5500,result,1.396641583,0.000003833,0x01,0x00
Flipper-W5500,result,1.396645583,0.000003833,0x02,0x2E
Flipper-W5500,result,1.396649583,0.000003833,0x03,0x00
Flipper-W5500,result,1.396656333,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.396661333,0.000000083,,
Flipper-W5500,enable,1.417641083,0.000000083,,
Flipper-W5500,result,1.41764275,0.000003833,0x01,0x00
Flipper-W5500,result,1.41764675,0.000003833,0x02,0x2E
Flipper-W5500,result,1.41765075,0.000003833,0x03,0x00
Flipper-W5500,result,1.417657417,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.4176625,0.000000083,,
Flipper-W5500,enable,1.438642167,0.000000083,,
Flipper-W5500,result,1.438643833,0.000003833,0x01,0x00
Flipper-W5500,result,1.438647833,0.000003833,0x02,0x2E
Flipper-W5500,result,1.438651833,0.000003833,0x03,0x00
Flipper-W5500,result,1.4386585,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.438663583,0.000000083,,
Flipper-W5500,enable,1.45964325,0.000000083,,
Flipper-W5500,result,1.459644917,0.000003833,0x01,0x00
Flipper-W5500,result,1.459648917,0.000003833,0x02,0x2E
Flipper-W5500,result,1.459652917,0.000003833,0x03,0x00
Flipper-W5500,result,1.459659583,0.000003833,0xfa,0x00
Flipper-W5500,disable,1.459664667,0.000000083,,
Flipper-W5500,enable,1.480644417,0.000000083,,
Flipper-W5500,result,1.480646,0.000003833,0x01,0x00
Flipper-W5500,result,1.48065,0.000003833,0x02,0x2E
